provincia;poblacion;codigopostal;lat;lon
Araba/Álava;Alegría-Dulantzi;240;-2,71243731;42,93981158
Araba/Álava;Alegría-Dulantzi;1193;-2,71243731;42,93981158
Araba/Álava;Amurrio;1450;-3,00007326;43,05427776
Araba/Álava;Amurrio;1468;-3,00007326;43,05427776
Araba/Álava;Amurrio;1470;-3,00007326;43,05427776
Araba/Álava;Aramaio;1160;-2,56540037;43,05119653
Araba/Álava;Aramaio;1165;-2,56540037;43,05119653
Araba/Álava;Aramaio;1169;-2,56540037;43,05119653
Araba/Álava;Artziniega;1474;-3,12791718;43,12084358
Araba/Álava;Artziniega;1478;-3,12791718;43,12084358
Araba/Álava;Armiñón;1211;-2,87183475;42,72326199
Araba/Álava;Armiñón;1220;-2,87183475;42,72326199
Araba/Álava;Arratzua-Ubarrundia;1510;-2,63878816;42,89116171
Araba/Álava;Arratzua-Ubarrundia;1520;-2,63878816;42,89116171
Araba/Álava;Asparrena;1208;-2,31670754;42,88968768
Araba/Álava;Asparrena;1250;-2,31670754;42,88968768
Araba/Álava;Asparrena;1260;-2,31670754;42,88968768
Araba/Álava;Ayala/Aiara;1408;-3,04306746;43,07768283
Araba/Álava;Ayala/Aiara;1470;-3,04306746;43,07768283
Araba/Álava;Ayala/Aiara;1476;-3,04306746;43,07768283
Araba/Álava;Ayala/Aiara;1477;-3,04306746;43,07768283
Araba/Álava;Ayala/Aiara;1478;-3,04306746;43,07768283
Araba/Álava;Ayala/Aiara;1479;-3,04306746;43,07768283
Araba/Álava;Baños de Ebro/Mañueta;1307;-2,67863583;42,52925602
Araba/Álava;Barrundia;1206;-2,49407452;42,91537538
Araba/Álava;Barrundia;1208;-2,49407452;42,91537538
Araba/Álava;Berantevilla;1211;-2,85971414;42,68227191
Araba/Álava;Berantevilla;1212;-2,85971414;42,68227191
Araba/Álava;Berantevilla;1220;-2,85971414;42,68227191
Araba/Álava;Bernedo;1118;-2,49825439;42,62676989
Araba/Álava;Bernedo;1128;-2,49825439;42,62676989
Araba/Álava;Bernedo;1194;-2,49825439;42,62676989
Araba/Álava;Bernedo;1216;-2,49825439;42,62676989
Araba/Álava;Campezo/Kanpezu;1110;-2,35207693;42,66971209
Araba/Álava;Campezo/Kanpezu;1117;-2,35207693;42,66971209
Araba/Álava;Campezo/Kanpezu;1128;-2,35207693;42,66971209
Araba/Álava;Zigoitia;1138;-2,73033002;42,96210609
Araba/Álava;Zigoitia;1196;-2,73033002;42,96210609
Araba/Álava;Kripan;1308;-2,51621636;42,59082439
Araba/Álava;Kuartango;1430;-2,88438243;42,87006411
Araba/Álava;Kuartango;1439;-2,88438243;42,87006411
Araba/Álava;Elburgo/Burgelu;1192;-2,54601815;42,84940575
Araba/Álava;Elburgo/Burgelu;1193;-2,54601815;42,84940575
Araba/Álava;Elciego;1340;-2,61723872;42,51420738
Araba/Álava;Elvillar/Bilar;1309;-2,54441267;42,56842577
Araba/Álava;Iruraiz-Gauna;1193;-2,47396549;42,83108571
Araba/Álava;Iruraiz-Gauna;1206;-2,47396549;42,83108571
Araba/Álava;Iruraiz-Gauna;1207;-2,47396549;42,83108571
Araba/Álava;Labastida/Bastida;1012;-2,79288705;42,59076105
Araba/Álava;Labastida/Bastida;1212;-2,79288705;42,59076105
Araba/Álava;Labastida/Bastida;1330;-2,79288705;42,59076105
Araba/Álava;Lagrán;1118;-2,58423377;42,62621464
Araba/Álava;Lagrán;1211;-2,58423377;42,62621464
Araba/Álava;Laguardia;1300;-2,58411693;42,55236655
Araba/Álava;Laguardia;1308;-2,58411693;42,55236655
Araba/Álava;Laguardia;1309;-2,58411693;42,55236655
Araba/Álava;Laguardia;1321;-2,58411693;42,55236655
Araba/Álava;Lanciego/Lantziego;1308;-2,51278162;42,5624416
Araba/Álava;Lapuebla de Labarca;1306;-2,57209001;42,49441468
Araba/Álava;Leza;1309;-2,63459428;42,56469687
Araba/Álava;Laudio/Llodio;1400;-2,96256495;43,1425188
Araba/Álava;Arraia-Maeztu;1120;-2,44663872;42,74000217
Araba/Álava;Arraia-Maeztu;1128;-2,44663872;42,74000217
Araba/Álava;Arraia-Maeztu;1129;-2,44663872;42,74000217
Araba/Álava;Moreda de Álava/Moreda Araba;1322;-2,40841718;42,52479167
Araba/Álava;Navaridas;1309;-2,62479544;42,5450594
Araba/Álava;Okondo;1409;-3,019026823;43,1615513
